#DATETIME_PST WDIR WSPD GST PRES ATMP
#ISO_8601_PST degT kt kt hPa degC
2021-01-05T18:00:00-08:00 257 2.3 4.2 null null
2021-01-06T10:00:00-08:00 239 6.7 9.9 null null
2021-01-06T11:00:00-08:00 241 7.8 12.2 null null
2021-01-06T12:00:00-08:00 236 8.8 12.0 null null
2021-01-06T13:00:00-08:00 238 8.4 12.2 null null
2021-01-06T14:00:00-08:00 235 9.8 13.9 null null
2021-01-06T15:00:00-08:00 247 9.8 13.9 null null
2021-01-06T16:00:00-08:00 258 10.5 14.6 null null
2021-01-06T17:00:00-08:00 259 6.7 10.3 null null
2021-01-06T18:00:00-08:00 286 3.3 7.0 null null
2021-01-07T10:00:00-08:00 136 2.2 4.6 null null
2021-01-07T11:00:00-08:00 221 7.1 16.0 null null
2021-01-07T12:00:00-08:00 231 8.1 12.0 null null
2021-01-07T13:00:00-08:00 214 5.5 14.1 null null
2021-01-07T14:00:00-08:00 226 8.9 17.3 null null
2021-01-07T15:00:00-08:00 234 10.8 16.5 null null
2021-01-07T16:00:00-08:00 247 9.9 13.3 null null
2021-01-12T18:00:00-08:00 34 2.1 3.8 null null
2021-01-13T12:00:00-08:00 226 4.6 6.6 null null
2021-01-13T13:00:00-08:00 219 6.7 9.7 null null
2021-01-13T14:00:00-08:00 245 9.3 14.8 null 16.9
2021-01-13T15:00:00-08:00 256 8.4 12.3 null 18.7
2021-01-13T16:00:00-08:00 247 6.3 8.5 null 18.6
2021-01-13T17:00:00-08:00 200 2.4 6.6 null 18.2
2021-01-13T18:00:00-08:00 238 2.8 4.4 null 17.0
2021-01-14T10:00:00-08:00 110 1.8 4.8 null 21.0
2021-01-14T11:00:00-08:00 218 4.4 6.5 null 17.3
2021-01-14T12:00:00-08:00 205 8.0 10.3 null 17.6
2021-01-14T13:00:00-08:00 225 11.8 15.2 null 17.5
2021-01-14T14:00:00-08:00 241 9.4 13.7 null 18.4
2021-01-14T15:00:00-08:00 251 9.1 12.7 null 18.9
2021-01-14T16:00:00-08:00 253 6.9 9.5 null 20.2
2021-01-14T17:00:00-08:00 277 1.3 4.9 null 21.5
2021-01-14T18:00:00-08:00 131 0.7 3.2 null 19.9
2021-01-15T10:00:00-08:00 344 4.9 6.3 null 26.6
2021-01-15T11:00:00-08:00 252 5.7 8.2 null 29.3
2021-01-15T12:00:00-08:00 348 4.4 7.8 null 31.2
2021-01-15T13:00:00-08:00 258 6.5 10.6 null 28.6
2021-01-15T14:00:00-08:00 254 9.0 12.2 null 26.0
2021-01-15T15:00:00-08:00 256 8.6 10.8 null 27.2
2021-01-15T16:00:00-08:00 257 8.6 11.2 null 25.9
2021-01-15T17:00:00-08:00 268 8.3 12.0 null 25.4
2021-01-15T18:00:00-08:00 264 4.3 7.4 null 25.1
2021-01-16T10:00:00-08:00 176 2.9 5.3 null 19.7
2021-01-16T11:00:00-08:00 219 4.5 6.1 null 21.2
2021-01-16T12:00:00-08:00 190 5.6 7.2 null 21.0
2021-01-16T13:00:00-08:00 214 5.7 7.6 null 19.5
2021-01-16T14:00:00-08:00 228 5.2 6.6 null 19.0
2021-01-16T15:00:00-08:00 220 5.2 7.2 null 19.2
2021-01-16T16:00:00-08:00 205 4.4 6.5 null 19.1
2021-01-16T17:00:00-08:00 212 2.8 5.9 null 17.8
2021-01-16T18:00:00-08:00 162 1.6 4.6 null 17.0
2021-01-17T10:00:00-08:00 245 2.5 6.3 null 21.5
2021-01-17T11:00:00-08:00 229 6.9 9.3 null 18.4
2021-01-17T12:00:00-08:00 237 7.4 12.0 null 20.5
2021-01-17T13:00:00-08:00 250 8.7 12.5 null 20.7
2021-01-17T14:00:00-08:00 255 8.1 11.0 null 22.1
2021-01-17T15:00:00-08:00 250 7.8 10.6 null 22.0
2021-01-17T16:00:00-08:00 249 8.8 11.6 null 20.5
2021-01-17T17:00:00-08:00 267 6.6 10.1 null 22.3
2021-01-17T18:00:00-08:00 137 3.7 7.2 null 20.9
2021-01-18T10:00:00-08:00 148 1.7 4.2 null 20.3
2021-01-18T11:00:00-08:00 106 4.9 7.0 null 18.8
2021-01-18T12:00:00-08:00 175 3.7 6.1 null 19.4
2021-01-18T13:00:00-08:00 198 7.2 8.9 null 17.3
2021-01-18T14:00:00-08:00 204 8.0 9.3 null 14.7
2021-01-18T15:00:00-08:00 220 6.6 8.9 null 14.0
2021-01-18T16:00:00-08:00 213 6.4 8.2 null 14.9
2021-01-18T17:00:00-08:00 185 7.2 9.7 null 14.7
2021-01-18T18:00:00-08:00 181 8.1 11.8 null 14.5
2021-01-19T10:00:00-08:00 51 3.9 7.2 null 16.9
2021-01-19T11:00:00-08:00 69 4.0 9.7 null 17.4
2021-01-19T12:00:00-08:00 66 20.8 30.6 null 18.6
2021-01-19T13:00:00-08:00 59 26.1 35.1 null 19.1
2021-01-19T14:00:00-08:00 56 29.1 38.4 null 19.0
